,TRACT,HOME_VALUE_USD
1,2.01,44800.0
2,2.02,82200.0
3,3,64300.0
4,4,105700.0
5,6,62700.0
6,7,141000.0
7,8,118300.0
8,9,99500.0
9,10,110100.0
10,11,122700.0
11,12,
12,14,
13,15,67700.0
14,16,104300.0
15,17,87400.0
16,18,66400.0
17,21,51400.0
18,23,77800.0
19,24.01,85500.0
20,24.02,
21,27,84900.0
22,28,73700.0
23,30,
24,35.01,
25,35.02,71000.0
26,36,100100.0
27,37,101500.0
28,38,103700.0
29,39,96700.0
30,40,104300.0
31,41,106300.0
32,43.01,121900.0
33,43.02,108900.0
34,44,175100.0
35,45,154000.0
36,46,170200.0
37,49,250000.0
38,50,
39,51,422200.0
40,52,415500.0
41,53,472200.0
42,56,134500.0
43,59.01,
44,59.02,239700.0
45,62,168800.0
46,63,232000.0
47,64,301900.0
48,65,192400.0
49,66,314000.0
50,68,241500.0
51,69,237500.0
52,70,242200.0
53,71.01,106700.0
54,71.02,188500.0
55,74,264600.0
56,75.01,621800.0
57,75.02,613300.0
58,76.01,275000.0
59,76.02,158900.0
60,76.03,224400.0
61,77,489900.0
62,78,363400.0
63,79,390800.0
64,81,252700.0
65,82.01,679200.0
66,82.02,589400.0
67,83,481800.0
68,84,345300.0
69,85,410200.0
70,87,610500.0
71,88,486100.0
72,89,429400.0
73,90.01,131800.0
74,90.02,203200.0
75,91.03,139700.0
76,91.05,117200.0
77,91.06,169100.0
78,93,249000.0
79,94.01,293600.0
80,94.02,183800.0
81,96,344000.0
82,97,266400.0
83,98,396400.0
84,99,320400.0
85,100.01,389200.0
86,100.04,273000.0
87,100.05,238900.0
88,100.06,266700.0
89,100.07,355200.0
90,100.08,331100.0
91,101.02,384700.0
92,101.03,307900.0
93,101.04,274700.0
94,103.09,456400.0
95,103.12,463900.0
96,103.13,617600.0
97,103.14,434400.0
98,103.15,548600.0
99,103.16,495200.0
100,103.17,481100.0
101,103.18,441400.0
102,103.19,302900.0
103,103.20,303400.0
104,103.21,403800.0
105,103.22,603600.0
106,103.23,249000.0
107,103.24,273200.0
108,104.03,347500.0
109,104.05,328000.0
110,104.06,459000.0
111,104.07,328700.0
112,104.08,316500.0
113,105,421100.0
114,106.01,351900.0
115,106.02,340100.0
116,107.01,542600.0
117,107.02,325500.0
118,107.06,362500.0
119,107.07,332200.0
120,107.08,330300.0
121,108,253500.0
122,109.01,199300.0
123,109.02,223900.0
124,110.03,234500.0
125,110.05,166200.0
126,110.06,212300.0
127,110.07,170400.0
128,110.08,143500.0
129,110.09,260100.0
130,111.09,258600.0
131,111.10,249700.0
132,111.11,284200.0
133,111.12,269500.0
134,111.13,302300.0
135,111.14,315800.0
136,111.15,232800.0
137,111.16,237100.0
138,111.17,198200.0
139,111.18,237800.0
140,112.01,209800.0
141,112.02,205900.0
142,113.01,207300.0
143,113.02,158100.0
144,114.03,155200.0
145,114.04,142800.0
146,114.05,171100.0
147,114.06,188200.0
148,115.06,235100.0
149,115.08,209700.0
150,115.09,246100.0
151,115.13,216700.0
152,115.14,255300.0
153,115.15,247700.0
154,115.16,221600.0
155,115.17,272600.0
156,115.18,377100.0
157,115.19,322900.0
158,115.20,455800.0
159,115.21,228800.0
160,115.22,263300.0
161,116.03,386500.0
162,116.04,571600.0
163,116.05,428600.0
164,116.06,607200.0
165,117.06,234600.0
166,117.07,230300.0
167,117.08,281200.0
168,117.09,368800.0
169,117.10,212100.0
170,117.11,231500.0
171,117.12,190700.0
172,117.13,145200.0
173,118,132800.0
174,119.01,13100.0
175,119.04,144800.0
176,119.06,204900.0
177,119.07,226800.0
178,119.08,200500.0
179,119.09,199500.0
180,120.01,167100.0
181,120.03,188100.0
182,120.04,77500.0
183,120.05,161900.0
184,121.03,190700.0
185,121.04,137500.0
186,121.05,173900.0
187,121.07,164000.0
188,121.08,175900.0
189,121.09,189200.0
190,122.03,260200.0
191,122.04,298700.0
192,122.05,200300.0
193,122.06,220500.0
194,123.01,195000.0
195,123.02,221800.0
196,124.06,167800.0
197,124.07,192600.0
198,124.08,167000.0
199,124.09,155800.0
200,124.10,231500.0
201,124.12,211900.0
202,124.13,174800.0
203,125.01,163600.0
204,125.02,193000.0
205,125.03,165800.0
206,126.03,166500.0
207,126.04,158100.0
208,126.05,162800.0
209,126.06,154500.0
210,127.01,140300.0
211,127.02,145300.0
212,127.03,172900.0
213,128.01,119400.0
214,128.02,102600.0
215,131,369600.0
216,9801,
