TRACT,TOTAL,Built 2020 or later,Built 2010 to 2019,Built 2000 to 2009,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier,OLDER_UNITS,NEWER_UNITS,OLDER_HOUSING_PCT
2.01,777,8,0,15,47,37,54,20,89,61,446,670,107,86.22908622908622
2.02,519,0,0,14,39,0,0,13,8,103,342,466,53,89.78805394990366
3,1085,0,53,0,42,0,57,36,149,116,632,990,95,91.24423963133641
4,2045,0,0,42,0,65,178,40,428,188,1104,1938,107,94.7677261613692
6,866,36,7,159,118,102,9,65,55,106,209,444,422,51.27020785219399
7,1331,0,0,29,15,4,104,37,93,272,777,1283,48,96.39368895567243
8,975,0,0,35,21,10,19,82,124,128,556,909,66,93.23076923076923
9,999,0,5,4,57,0,6,168,112,181,466,933,66,93.3933933933934
10,1393,0,0,57,0,20,54,28,521,144,569,1316,77,94.47236180904522
11,1747,0,0,55,52,12,64,206,356,402,600,1628,119,93.18832283915283
12,1478,0,8,57,11,57,77,73,448,140,607,1345,133,91.00135317997294
14,1054,19,12,551,298,27,30,76,41,0,0,147,907,13.946869070208729
15,1402,0,60,138,73,102,53,2,248,228,498,1029,373,73.39514978601997
16,1221,0,8,110,15,0,22,81,205,222,558,1088,133,89.1072891072891
17,1032,16,0,10,5,0,15,36,88,240,622,1001,31,96.99612403100775
18,644,0,7,37,17,23,113,5,126,140,176,560,84,86.95652173913044
21,1245,0,8,0,21,77,24,94,14,202,805,1139,106,91.4859437751004
23,1043,0,39,81,76,5,69,29,40,138,566,842,201,80.72866730584852
24.01,1127,38,57,81,22,47,48,138,35,129,532,882,245,78.26086956521739
24.02,1309,0,298,279,128,0,82,50,53,84,335,604,705,46.142093200916726
27,1610,23,16,117,7,145,60,88,405,186,563,1302,308,80.8695652173913
28,856,0,9,0,0,55,82,19,102,234,355,792,64,92.5233644859813
30,864,156,35,18,155,91,86,196,50,21,56,409,455,47.33796296296296
35.01,708,0,251,205,116,44,22,0,0,45,25,92,616,12.994350282485875
35.02,753,0,6,0,0,25,46,44,200,335,97,722,31,95.88313413014609
36,2092,0,101,28,19,101,86,260,321,557,619,1843,249,88.09751434034416
37,1009,0,200,28,64,13,2,13,214,116,359,704,305,69.77205153617443
38,1374,0,21,0,41,0,65,207,231,520,289,1312,62,95.48762736535662
39,1684,11,50,55,13,0,77,173,706,306,293,1555,129,92.3396674584323
40,746,0,0,21,76,8,12,44,147,71,367,641,105,85.92493297587131
41,1505,19,1,16,102,36,83,71,281,442,454,1331,174,88.43853820598007
43.01,1908,7,0,77,40,337,588,204,399,127,129,1447,461,75.83857442348008
43.02,513,0,0,16,126,45,47,47,102,28,102,326,187,63.547758284600384
44,2174,0,45,100,74,99,101,294,345,596,520,1856,318,85.37258509659613
