TRACT,HOUSEHOLD_INCOME_USD
2.01,35825.0
2.02,17039.0
3,34764.0
4,41713.0
6,30734.0
7,24973.0
8,42311.0
9,20027.0
10,67373.0
11,46513.0
12,30729.0
14,26510.0
15,31104.0
16,42646.0
17,50455.0
18,16563.0
21,30526.0
23,25903.0
24.01,30058.0
24.02,44594.0
27,36425.0
28,41944.0
30,14107.0
35.01,31786.0
35.02,9038.0
36,36133.0
37,38661.0
38,45952.0
39,36406.0
40,65800.0
41,37404.0
43.01,22098.0
43.02,51277.0
44,45662.0
45,58720.0
46,52866.0
49,45830.0
50,19702.0
51,30090.0
52,53750.0
53,36012.0
56,27981.0
59.01,12294.0
59.02,55491.0
62,39375.0
63,71611.0
64,69596.0
65,42946.0
66,50170.0
68,93854.0
69,79833.0
70,77683.0
71.01,
71.02,46478.0
74,61250.0
75.01,172315.0
75.02,137813.0
76.01,59183.0
76.02,60258.0
76.03,56250.0
77,96607.0
78,91071.0
79,87917.0
81,89032.0
82.01,94911.0
82.02,58000.0
83,77708.0
84,95313.0
85,116932.0
87,171175.0
88,105234.0
89,98618.0
90.01,56719.0
90.02,68640.0
91.03,44432.0
91.05,32244.0
91.06,56344.0
93,91995.0
94.01,84750.0
94.02,84383.0
96,105145.0
97,72432.0
98,99904.0
99,88906.0
100.01,110938.0
100.04,66370.0
100.05,83578.0
100.06,64392.0
100.07,102000.0
100.08,76157.0
101.02,118224.0
101.03,67250.0
101.04,75191.0
103.09,104926.0
103.12,133333.0
103.13,136345.0
103.14,133672.0
103.15,109271.0
103.16,160238.0
103.17,181412.0
103.18,111180.0
103.19,85113.0
103.20,84038.0
103.21,145625.0
103.22,190938.0
103.23,83068.0
103.24,73833.0
104.03,100231.0
104.05,68197.0
104.06,110223.0
104.07,79821.0
104.08,75000.0
105,82396.0
106.01,95641.0
106.02,64770.0
107.01,98452.0
107.02,79156.0
107.06,97611.0
107.07,97890.0
107.08,82184.0
108,78480.0
109.01,66260.0
109.02,78029.0
110.03,81920.0
110.05,62077.0
110.06,51355.0
110.07,35693.0
110.08,50066.0
110.09,81635.0
111.09,68438.0
111.10,85757.0
111.11,93833.0
111.12,91583.0
111.13,76682.0
111.14,86131.0
111.15,90156.0
111.16,72508.0
111.17,61714.0
111.18,90754.0
112.01,48041.0
112.02,43583.0
113.01,49115.0
113.02,61976.0
114.03,55417.0
114.04,29672.0
114.05,48781.0
114.06,55052.0
115.06,74032.0
115.08,81154.0
115.09,40673.0
115.13,73590.0
115.14,84034.0
115.15,91793.0
115.16,71994.0
115.17,97149.0
115.18,131250.0
115.19,109615.0
115.20,131887.0
115.21,68939.0
115.22,86480.0
116.03,110673.0
116.04,124293.0
116.05,96484.0
116.06,132404.0
117.06,81875.0
117.07,110507.0
117.08,74375.0
117.09,96313.0
117.10,86367.0
117.11,87485.0
117.12,61850.0
117.13,47026.0
118,50179.0
119.01,
119.04,42424.0
119.06,52835.0
119.07,72123.0
119.08,51400.0
119.09,44835.0
120.01,67798.0
120.03,67625.0
120.04,50231.0
120.05,59909.0
121.03,80556.0
121.04,57891.0
121.05,69160.0
121.07,62777.0
121.08,60729.0
121.09,71723.0
122.03,73993.0
122.04,71133.0
122.05,51656.0
122.06,85948.0
123.01,64295.0
123.02,62333.0
124.06,69269.0
124.07,88137.0
124.08,69514.0
124.09,77426.0
124.10,67969.0
124.12,62461.0
124.13,66413.0
125.01,40990.0
125.02,61225.0
125.03,63149.0
126.03,50982.0
126.04,58222.0
126.05,50775.0
126.06,67429.0
127.01,34028.0
127.02,42191.0
127.03,56186.0
128.01,34380.0
128.02,42227.0
131,109185.0
9801,
