,ISSUE_DATE,ADDRESS,CITY,ZIPCODE,LATITUDE,LONGITUDE,DISTRICT,NEIGHBORHOOD,geometry,index_right,FID,OBJECTID,NH_CODE,NH_NAME,SHAPE_AREA,SHAPE_LEN,Shape__Are,Shape__Len
10615,2024-12-30 05:00:00,2208 W MARKET ST,LOUISVILLE,40212,38.25834467,-85.78713912,5.0,RUSSELL,POINT (-85.78713912 38.25834467),8.0,9.0,9.0,58.0,RUSSELL,39120816.5583,30140.1113728,5903448.6171875,11696.3609495239
10616,2024-12-30 05:00:00,702 GHEENS AVE,LOUISVILLE,40214,38.16662478,-85.7770508,21.0,IROQUOIS,POINT (-85.7770508 38.16662478),87.0,88.0,88.0,40.0,IROQUOIS,11842680.5471,13812.6910067,1782853.48828125,5360.83816734473
10617,2024-12-30 05:00:00,501 E BRECKINRIDGE ST,LOUISVILLE,40203,38.24061267,-85.74613709,4.0,SMOKETOWN JACKSON,POINT (-85.74613709 38.24061267),20.0,21.0,21.0,64.0,SMOKETOWN JACKSON,11034983.6131,13830.1607788,1664642.890625,5369.82622756759
10618,2024-12-30 05:00:00,452 SWING LN,MOCKINGBIRD VALLEY,40207,38.26885626,-85.67600553,16.0,,POINT (-85.67600553 38.26885626),,,,,,,,,
10619,2024-12-30 05:00:00,509 ALGER AVE,LOUISVILLE,40214,38.16712352,-85.77297987,21.0,IROQUOIS,POINT (-85.77297987 38.16712352),87.0,88.0,88.0,40.0,IROQUOIS,11842680.5471,13812.6910067,1782853.48828125,5360.83816734473
10620,2024-12-30 05:00:00,403 SCOTTSDALE BLVD,LOUISVILLE,40214,38.13951415,-85.77283298,13.0,,POINT (-85.77283298 38.13951415),,,,,,,,,
10621,2024-12-30 05:00:00,2708 LAMONT RD,LOUISVILLE,40205,38.20926831,-85.69257375,8.0,HAYFIELD DUNDEE,POINT (-85.69257375 38.20926831),60.0,61.0,61.0,33.0,HAYFIELD DUNDEE,16435765.2403,16322.3177488,2477163.3515625,6337.23248303272
10622,2024-12-30 05:00:00,4029 HENDERSON AVE,LOUISVILLE,40213,38.19541957,-85.72457184,21.0,PRESTONIA,POINT (-85.72457184 38.19541957),71.0,72.0,72.0,56.0,PRESTONIA,10395510.0456,15768.9130724,1566159.05859375,6117.3781568667
10623,2024-12-30 05:00:00,105 E ESPLANADE AVE,LOUISVILLE,40214,38.16184317,-85.76980518,21.0,SOUTHSIDE,POINT (-85.76980518 38.16184317),83.0,84.0,84.0,67.0,SOUTHSIDE,25638034.4241,28565.2760312,3860205.3984375,11092.7095503978
10624,2024-12-30 05:00:00,8214 MADRONE AVE,LOUISVILLE,40258,38.13283854,-85.86749226,14.0,,POINT (-85.86749226 38.13283854),,,,,,,,,
10625,2024-12-30 05:00:00,6103 SANTA FE TRL,LOUISVILLE,40258,38.16429423,-85.87773219,1.0,,POINT (-85.87773219 38.16429423),,,,,,,,,
10626,2024-12-30 05:00:00,12618 BAY TREE WAY,LOUISVILLE,40245,38.30859642,-85.52043415,17.0,,POINT (-85.52043415 38.30859642),,,,,,,,,
10627,2024-12-30 05:00:00,4729 BURKLEY AVE,LOUISVILLE,40214,38.17923059,-85.77000559,21.0,BEECHMONT,POINT (-85.77000559 38.17923059),78.0,79.0,79.0,6.0,BEECHMONT,40279693.3847,29071.6030981,6066389.4921875,11283.411717426
10628,2024-12-30 05:00:00,128 VERNON AVE,LOUISVILLE,40206,38.25546659,-85.70820411,9.0,CLIFTON,POINT (-85.70820411 38.25546659),9.0,10.0,10.0,22.0,CLIFTON,19009888.5274,17779.8130048,2868707.6328125,6903.68857888366
10629,2024-12-30 05:00:00,8813 WISDOM LN,HERITAGE CREEK,40229,38.09323961,-85.61075208,23.0,,POINT (-85.61075208 38.09323961),,,,,,,,,
