GEO_ID,TRACT,POPULATION,BELOW_POVERTY,POVERTY_RATE
1400000US21111000201,2.01,1163,398,34.2
1400000US21111000202,2.02,706,370,52.4
1400000US21111000300,3.0,2155,585,27.1
1400000US21111000400,4.0,4644,955,20.6
1400000US21111000600,6.0,1252,328,26.2
1400000US21111000700,7.0,2198,923,42.0
1400000US21111000800,8.0,1920,660,34.4
1400000US21111000900,9.0,2115,991,46.9
1400000US21111001000,10.0,2487,611,24.6
1400000US21111001100,11.0,2931,837,28.6
1400000US21111001200,12.0,2782,1173,42.2
1400000US21111001400,14.0,2434,1310,53.8
1400000US21111001500,15.0,2969,1377,46.4
1400000US21111001600,16.0,2783,619,22.2
1400000US21111001700,17.0,1636,436,26.7
1400000US21111001800,18.0,1075,651,60.6
1400000US21111002100,21.0,1933,748,38.7
1400000US21111002300,23.0,1979,835,42.2
1400000US21111002401,24.01,1399,392,28.0
1400000US21111002402,24.02,3000,870,29.0
1400000US21111002700,27.0,2553,954,37.4
1400000US21111002800,28.0,1581,646,40.9
1400000US21111003000,30.0,1698,1306,76.9
1400000US21111003501,35.01,1470,902,61.4
1400000US21111003502,35.02,1567,1323,84.4
1400000US21111003600,36.0,3802,990,26.0
1400000US21111003700,37.0,1744,630,36.1
1400000US21111003800,38.0,3478,1114,32.0
1400000US21111003900,39.0,3658,849,23.2
1400000US21111004000,40.0,1681,480,28.6
1400000US21111004100,41.0,2083,665,31.9
1400000US21111004301,43.01,4143,1864,45.0
1400000US21111004302,43.02,1174,244,20.8
1400000US21111004400,44.0,4327,1058,24.5
1400000US21111004500,45.0,3262,785,24.1
1400000US21111004600,46.0,4154,639,15.4
1400000US21111004900,49.0,3019,823,27.3
1400000US21111005000,50.0,1784,1057,59.2
1400000US21111005100,51.0,3229,1250,38.7
1400000US21111005200,52.0,4158,708,17.0
1400000US21111005300,53.0,1262,491,38.9
1400000US21111005600,56.0,3993,2000,50.1
1400000US21111005901,59.01,2417,1423,58.9
1400000US21111005902,59.02,2044,484,23.7
1400000US21111006200,62.0,2086,881,42.2
1400000US21111006300,63.0,1717,246,14.3
1400000US21111006400,64.0,1963,203,10.3
1400000US21111006500,65.0,2436,972,39.9
1400000US21111006600,66.0,1788,267,14.9
1400000US21111006800,68.0,2077,247,11.9
1400000US21111006900,69.0,2012,128,6.4
1400000US21111007000,70.0,1553,138,8.9
1400000US21111007101,71.01,150,67,44.7
1400000US21111007102,71.02,4335,910,21.0
1400000US21111007400,74.0,2462,461,18.7
1400000US21111007501,75.01,6349,213,3.4
1400000US21111007502,75.02,5624,205,3.6
