,TRACT,TOTAL,Less than 10.0 percent,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed
0,2.01,277,0,8,13,75,47,0,0,37,86,11
1,2.02,188,0,0,0,13,17,0,0,15,122,21
2,3,438,11,0,51,77,24,19,93,54,81,28
3,4,880,55,18,100,12,70,218,0,156,240,11
4,6,461,10,78,23,33,42,42,7,56,163,7
5,7,856,111,0,0,100,77,26,0,185,221,136
6,8,261,0,28,14,13,15,38,19,0,121,13
7,9,531,41,27,0,60,15,52,27,44,167,98
8,10,530,0,60,58,67,8,0,73,13,131,120
9,11,574,0,26,17,73,101,5,32,0,229,91
10,12,563,0,11,122,51,33,0,31,0,197,118
11,14,722,34,94,10,44,70,27,105,49,259,30
12,15,642,0,76,42,86,39,4,107,91,132,65
13,16,566,0,73,108,91,52,20,0,16,146,60
14,17,236,0,88,10,12,47,16,0,10,43,10
15,18,346,0,5,0,23,0,29,84,41,107,57
16,21,492,27,120,60,0,86,22,12,52,100,13
17,23,431,28,0,45,28,21,9,0,40,222,38
18,24.01,584,0,44,67,60,75,0,0,185,139,14
19,24.02,641,63,51,258,11,40,43,0,13,125,37
20,27,781,5,44,265,47,63,50,58,66,147,36
21,28,318,28,40,79,11,0,43,0,0,111,6
22,30,668,6,14,46,35,31,17,34,182,237,66
23,35.01,542,8,0,29,114,19,0,63,46,225,38
24,35.02,679,159,0,95,94,49,37,0,0,128,117
25,36,925,0,77,207,90,0,66,45,162,198,80
26,37,661,25,65,16,109,43,2,117,60,173,51
27,38,600,5,88,75,58,61,26,32,58,183,14
28,39,834,92,32,30,87,29,60,147,4,180,173
29,40,428,118,13,40,42,44,25,29,29,88,0
30,41,715,115,131,77,21,19,159,45,65,63,20
31,43.01,"1,512",105,204,197,15,276,96,28,71,340,180
32,43.02,235,16,14,12,28,70,7,21,5,62,0
33,44,939,0,63,63,186,171,52,75,28,229,72
34,45,571,52,29,121,0,65,0,62,71,129,42
35,46,762,0,137,103,183,16,0,9,104,146,64
36,49,"1,839",139,319,107,223,156,239,112,172,236,136
37,50,"1,027",0,40,145,76,175,86,48,46,209,202
38,51,"1,908",37,103,104,205,115,289,72,227,507,249
39,52,"1,568",24,131,229,272,138,211,160,45,336,22
40,53,536,0,41,93,6,27,72,8,125,110,54
41,56,"1,141",30,46,112,73,50,106,64,74,447,139
42,59.01,"1,427",222,64,254,285,111,81,229,49,54,78
43,59.02,951,70,78,85,215,85,127,58,32,192,9
44,62,565,36,0,53,60,72,99,58,3,163,21
45,63,263,0,0,72,40,31,60,8,0,52,0
46,64,630,72,24,30,114,79,26,92,13,144,36
47,65,540,36,59,100,28,0,21,78,24,147,47
48,66,724,0,41,110,33,110,73,123,47,108,79
49,68,401,14,51,52,45,56,20,0,89,62,12
50,69,405,37,6,87,125,22,10,11,34,73,0
51,70,234,3,12,23,49,20,2,0,21,20,84
52,71.01,73,0,7,9,29,0,0,0,0,28,0
53,71.02,"1,318",65,207,205,41,68,174,149,32,367,10
54,74,647,0,59,161,27,157,0,54,51,126,12
55,75.01,113,0,10,14,0,7,0,0,0,48,34
56,75.02,204,0,0,25,22,0,8,0,42,102,5
57,76.01,578,19,55,95,72,112,38,75,0,99,13
58,76.02,"1,396",122,21,197,438,144,13,114,54,293,0
59,76.03,785,37,53,23,190,93,29,34,159,152,15
60,77,481,58,22,21,33,22,52,15,49,175,34
61,78,519,20,13,152,123,73,16,18,41,50,13
62,79,376,5,53,76,52,27,24,20,66,49,4
63,81,"1,132",92,106,241,220,57,109,76,39,192,0
64,82.01,459,14,117,44,60,48,29,11,56,72,8
65,82.02,889,0,76,153,103,132,120,43,33,229,0
66,83,563,13,44,108,38,213,11,13,28,95,0
67,84,550,90,62,18,38,42,101,21,22,45,111
68,85,391,73,59,36,11,0,11,11,13,153,24
69,87,150,0,11,29,31,7,0,0,44,8,20
70,88,404,6,47,80,43,34,30,9,13,119,23
71,89,495,5,0,27,90,98,62,23,49,65,76
72,90.01,354,0,77,18,49,73,48,9,11,69,0
73,90.02,497,0,0,65,128,0,114,14,0,176,0
74,91.03,253,0,34,10,57,27,0,0,25,100,0
75,91.05,667,13,84,63,0,92,103,36,9,240,27
76,91.06,775,0,252,60,32,88,12,44,21,245,21
77,93,695,16,83,269,70,29,31,48,21,75,53
78,94.01,328,72,18,44,17,27,0,0,27,108,15
79,94.02,254,30,101,71,8,0,21,0,0,9,14
80,96,115,0,0,17,23,0,18,20,2,19,16
81,97,357,23,43,28,56,35,71,1,12,48,40
82,98,319,47,47,22,21,68,47,0,2,36,29
83,99,344,15,21,88,15,12,61,7,4,83,38
84,100.01,232,8,24,21,19,15,13,11,4,61,56
85,100.04,"1,200",6,69,191,276,173,106,121,39,202,17
86,100.05,527,0,41,47,70,84,11,61,7,176,30
87,100.06,522,0,6,11,13,184,57,49,36,108,58
88,100.07,160,0,6,65,22,0,12,4,0,31,20
89,100.08,801,13,31,73,133,110,88,96,23,227,7
90,101.02,98,0,15,3,3,5,12,0,1,16,43
91,101.03,"1,170",95,116,142,65,130,59,89,75,372,27
92,101.04,973,9,127,19,223,125,85,12,115,247,11
93,103.09,463,9,7,49,51,139,48,23,43,82,12
94,103.12,132,10,0,46,0,0,42,0,10,11,13
95,103.13,642,85,43,0,104,51,132,0,40,168,19
96,103.14,777,51,86,124,0,0,189,33,15,259,20
97,103.15,864,8,58,159,98,189,40,0,153,143,16
98,103.16,194,0,10,0,78,0,11,24,0,45,26
99,103.17,42,0,0,31,2,0,5,0,1,0,3
100,103.18,935,32,87,174,88,115,55,136,41,182,25
101,103.19,559,0,182,73,53,28,19,33,118,53,0
102,103.20,629,23,24,15,162,72,56,38,150,65,24
103,103.21,185,0,24,24,22,0,0,0,80,0,35
104,103.22,19,0,0,0,0,0,19,0,0,0,0
105,103.23,308,0,10,37,55,13,20,31,33,109,0
