,TRACT,GROSS_RENT_USD
1,2.01,1141.0
2,2.02,1288.0
3,3,1234.0
4,4,1012.0
5,6,752.0
6,7,962.0
7,8,1116.0
8,9,901.0
9,10,1110.0
10,11,675.0
11,12,1274.0
12,14,1007.0
13,15,1016.0
14,16,1017.0
15,17,1020.0
16,18,978.0
17,21,811.0
18,23,1000.0
19,24.01,
20,24.02,1016.0
21,27,920.0
22,28,1072.0
23,30,695.0
24,35.01,1113.0
25,35.02,192.0
26,36,1009.0
27,37,974.0
28,38,1220.0
29,39,1054.0
30,40,931.0
31,41,826.0
32,43.01,989.0
33,43.02,1168.0
34,44,927.0
35,45,1191.0
36,46,827.0
37,49,1089.0
38,50,910.0
39,51,787.0
40,52,896.0
41,53,986.0
42,56,998.0
43,59.01,256.0
44,59.02,1226.0
45,62,1008.0
46,63,1198.0
47,64,1300.0
48,65,1044.0
49,66,957.0
50,68,1693.0
51,69,1181.0
52,70,1138.0
53,71.01,1253.0
54,71.02,1135.0
55,74,1374.0
56,75.01,1154.0
57,75.02,1920.0
58,76.01,1050.0
59,76.02,1031.0
60,76.03,1369.0
61,77,1020.0
62,78,1107.0
63,79,1126.0
64,81,1451.0
65,82.01,1170.0
66,82.02,1228.0
67,83,1300.0
68,84,1356.0
69,85,1154.0
70,87,1035.0
71,88,1167.0
72,89,1118.0
73,90.01,1079.0
74,90.02,889.0
75,91.03,1018.0
76,91.05,1068.0
77,91.06,1169.0
78,93,1266.0
79,94.01,938.0
80,94.02,1008.0
81,96,1345.0
82,97,1436.0
83,98,1698.0
84,99,1225.0
85,100.01,2123.0
86,100.04,1264.0
87,100.05,1377.0
88,100.06,1275.0
89,100.07,2133.0
90,100.08,1666.0
91,101.02,2023.0
92,101.03,1244.0
93,101.04,1279.0
94,103.09,1499.0
95,103.12,1193.0
96,103.13,2293.0
97,103.14,2050.0
98,103.15,1777.0
99,103.16,1340.0
100,103.17,2287.0
101,103.18,1619.0
102,103.19,1129.0
103,103.20,1390.0
104,103.21,2669.0
105,103.22,
106,103.23,1406.0
107,103.24,1416.0
108,104.03,1683.0
109,104.05,1451.0
110,104.06,1544.0
111,104.07,1561.0
112,104.08,1428.0
113,105,1418.0
114,106.01,1329.0
115,106.02,1315.0
116,107.01,1657.0
117,107.02,1301.0
118,107.06,1428.0
119,107.07,1364.0
120,107.08,1564.0
121,108,1351.0
122,109.01,1190.0
123,109.02,1172.0
124,110.03,1168.0
125,110.05,1356.0
126,110.06,1123.0
127,110.07,1061.0
128,110.08,1097.0
129,110.09,988.0
130,111.09,1182.0
131,111.10,998.0
132,111.11,1346.0
133,111.12,1397.0
134,111.13,1208.0
135,111.14,996.0
136,111.15,1403.0
137,111.16,1380.0
138,111.17,1307.0
139,111.18,1591.0
140,112.01,1088.0
141,112.02,1124.0
142,113.01,946.0
143,113.02,1315.0
144,114.03,1332.0
145,114.04,904.0
146,114.05,860.0
147,114.06,1184.0
148,115.06,1511.0
149,115.08,1239.0
150,115.09,1129.0
151,115.13,1071.0
152,115.14,1570.0
153,115.15,2250.0
154,115.16,1068.0
155,115.17,994.0
156,115.18,
157,115.19,1286.0
158,115.20,1409.0
159,115.21,900.0
160,115.22,1615.0
161,116.03,1589.0
162,116.04,886.0
163,116.05,1539.0
164,116.06,
165,117.06,1027.0
166,117.07,1450.0
167,117.08,1047.0
168,117.09,2624.0
169,117.10,1274.0
170,117.11,1289.0
171,117.12,1313.0
172,117.13,1216.0
173,118,1015.0
174,119.01,692.0
175,119.04,776.0
176,119.06,1071.0
177,119.07,984.0
178,119.08,1167.0
179,119.09,927.0
180,120.01,1095.0
181,120.03,1283.0
182,120.04,1167.0
183,120.05,1211.0
184,121.03,1267.0
185,121.04,1396.0
186,121.05,1190.0
187,121.07,1198.0
188,121.08,855.0
189,121.09,1265.0
190,122.03,1093.0
191,122.04,970.0
192,122.05,1138.0
193,122.06,900.0
194,123.01,1393.0
195,123.02,1248.0
196,124.06,1197.0
197,124.07,1312.0
198,124.08,962.0
199,124.09,1367.0
200,124.10,941.0
201,124.12,1207.0
202,124.13,1707.0
203,125.01,821.0
204,125.02,956.0
205,125.03,897.0
206,126.03,1070.0
207,126.04,968.0
208,126.05,893.0
209,126.06,912.0
210,127.01,914.0
211,127.02,1167.0
212,127.03,1445.0
213,128.01,678.0
214,128.02,740.0
215,131,1411.0
216,9801,
