FID,OBJECTID,NH_CODE,NH_NAME,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
1,1,99,REMAINDER OF CITY,25583328.32,23718.32369,3862566.652,9212.87811
2,2,53,PORTLAND,70098295.09,43851.33466,10582289.58,17022.17307
3,3,62,SHAWNEE,59953850.17,34088.05705,9049049.285,13244.603
4,4,12,BROWNSBORO ZORN,21977318.73,28060.14144,3317621.734,10894.66748
5,5,23,CLIFTON HEIGHTS,17858635.53,19464.93345,2695641.211,7556.792253
6,6,13,BUTCHERTOWN,25600550.48,22476.08395,3863854.27,8727.072654
7,7,25,CRESCENT HILL,53000666.3,35485.13388,7998139.434,13773.82631
8,8,17,CENTRAL BUSINESS DISTRICT,33029827.63,27923.75281,4984184.98,10844.98066
9,9,58,RUSSELL,39120816.56,30140.11137,5903448.617,11696.36095
10,10,22,CLIFTON,19009888.53,17779.813,2868707.633,6903.688579
11,11,39,IRISH HILL,11140517.72,24365.0362,1680962.496,9459.944829
12,12,99,REMAINDER OF CITY,3655507.725,11702.75791,551609.5195,4542.212818
13,13,51,PHOENIX HILL,16257836.43,19251.43238,2453008.758,7471.661149
14,14,57,ROCKCREEK LEXINGTON ROAD,16702087.19,34138.94033,2519815.844,13254.33513
15,15,21,CHICKASAW,33929100.71,26018.43521,5118623.98,10101.94204
16,16,50,PARKLAND,22678009.29,20146.21188,3421051.313,7828.162099
17,17,14,CALIFORNIA,34280997.76,24635.77947,5171558.59,9562.546369
18,18,20,CHEROKEE TRIANGLE,27288229.14,24982.7383,4116574.996,9701.012881
19,19,99,REMAINDER OF CITY,31489521.52,29402.85978,4750160.504,11417.26574
20,20,18,CHEROKEE GARDENS,10925832.86,16877.68856,1648323.066,6550.026861
21,21,64,SMOKETOWN JACKSON,11034983.61,13830.16078,1664642.891,5369.826228
22,22,47,OLD LOUISVILLE,33395328.99,31463.92831,5036488.367,12223.37135
23,23,19,CHEROKEE SENECA,36710744.6,38885.96396,5537344.75,15095.20806
24,24,74,PARISTOWN POINTE,1886245.762,5761.636092,284544.0664,2238.251692
25,25,36,HIGHLANDS,5083966.15,9711.478214,766907.7656,3771.901422
26,26,45,LIMERICK,6326751.149,12941.9751,954319.6523,5031.018396
27,27,10,BOWMAN,35329001.39,46240.35862,5327751.074,17954.79602
28,28,99,REMAINDER OF CITY,16634416.45,20715.95489,2508764.215,8044.793445
29,29,30,GERMANTOWN,16716542.7,16709.39097,2521095.148,6491.54706
30,30,49,PARK HILL,27999518.6,23853.79558,4222750.156,9254.972176
31,31,70,TYLER PARK,14342019.12,17512.03337,2162950.152,6798.284915
32,32,63,SHELBY PARK,11329278.84,13921.09175,1708652.332,5406.697884
33,33,9,BONNYCASTLE,9091686.395,16247.26453,1371187.672,6306.216747
34,34,48,PARK DUVALLE,25371006.29,22847.02197,3825948.402,8870.671819
