"Label (Grouping)","Median household income in the past 12 months (in 2024 inflation-adjusted dollars)"
"Census Tract 2.01; Jefferson County; Kentucky",""
"    Estimate","35,825"
"    Margin of Error","±11,473"
"Census Tract 2.02; Jefferson County; Kentucky",""
"    Estimate","17,039"
"    Margin of Error","±6,250"
"Census Tract 3; Jefferson County; Kentucky",""
"    Estimate","34,764"
"    Margin of Error","±17,865"
"Census Tract 4; Jefferson County; Kentucky",""
"    Estimate","41,713"
"    Margin of Error","±9,086"
"Census Tract 6; Jefferson County; Kentucky",""
"    Estimate","30,734"
"    Margin of Error","±6,966"
"Census Tract 7; Jefferson County; Kentucky",""
"    Estimate","24,973"
"    Margin of Error","±24,797"
"Census Tract 8; Jefferson County; Kentucky",""
"    Estimate","42,311"
"    Margin of Error","±14,879"
"Census Tract 9; Jefferson County; Kentucky",""
"    Estimate","20,027"
"    Margin of Error","±7,197"
"Census Tract 10; Jefferson County; Kentucky",""
"    Estimate","67,373"
"    Margin of Error","±56,017"
"Census Tract 11; Jefferson County; Kentucky",""
"    Estimate","46,513"
"    Margin of Error","±12,826"
"Census Tract 12; Jefferson County; Kentucky",""
"    Estimate","30,729"
"    Margin of Error","±28,024"
"Census Tract 14; Jefferson County; Kentucky",""
"    Estimate","26,510"
"    Margin of Error","±11,413"
"Census Tract 15; Jefferson County; Kentucky",""
"    Estimate","31,104"
"    Margin of Error","±9,377"
"Census Tract 16; Jefferson County; Kentucky",""
"    Estimate","42,646"
"    Margin of Error","±6,954"
"Census Tract 17; Jefferson County; Kentucky",""
"    Estimate","50,455"
"    Margin of Error","±19,524"
"Census Tract 18; Jefferson County; Kentucky",""
"    Estimate","16,563"
"    Margin of Error","±15,076"
"Census Tract 21; Jefferson County; Kentucky",""
"    Estimate","30,526"
"    Margin of Error","±11,601"
"Census Tract 23; Jefferson County; Kentucky",""
"    Estimate","25,903"
"    Margin of Error","±11,849"
"Census Tract 24.01; Jefferson County; Kentucky",""
"    Estimate","30,058"
"    Margin of Error","±2,852"
"Census Tract 24.02; Jefferson County; Kentucky",""
"    Estimate","44,594"
"    Margin of Error","±16,954"
"Census Tract 27; Jefferson County; Kentucky",""
"    Estimate","36,425"
"    Margin of Error","±16,857"
"Census Tract 28; Jefferson County; Kentucky",""
"    Estimate","41,944"
"    Margin of Error","±9,774"
"Census Tract 30; Jefferson County; Kentucky",""
"    Estimate","14,107"
"    Margin of Error","±4,137"
"Census Tract 35.01; Jefferson County; Kentucky",""
"    Estimate","31,786"
"    Margin of Error","±18,578"
"Census Tract 35.02; Jefferson County; Kentucky",""
"    Estimate","9,038"
"    Margin of Error","±2,547"
"Census Tract 36; Jefferson County; Kentucky",""
"    Estimate","36,133"
"    Margin of Error","±13,379"
"Census Tract 37; Jefferson County; Kentucky",""
"    Estimate","38,661"
"    Margin of Error","±10,959"
"Census Tract 38; Jefferson County; Kentucky",""
"    Estimate","45,952"
"    Margin of Error","±6,518"
"Census Tract 39; Jefferson County; Kentucky",""
"    Estimate","36,406"
"    Margin of Error","±11,115"
"Census Tract 40; Jefferson County; Kentucky",""
"    Estimate","65,800"
"    Margin of Error","±26,987"
"Census Tract 41; Jefferson County; Kentucky",""
"    Estimate","37,404"
"    Margin of Error","±20,063"
"Census Tract 43.01; Jefferson County; Kentucky",""
"    Estimate","22,098"
"    Margin of Error","±11,227"
"Census Tract 43.02; Jefferson County; Kentucky",""
"    Estimate","51,277"
"    Margin of Error","±7,404"
"Census Tract 44; Jefferson County; Kentucky",""
"    Estimate","45,662"
"    Margin of Error","±7,203"
"Census Tract 45; Jefferson County; Kentucky",""
"    Estimate","58,720"
"    Margin of Error","±21,746"
"Census Tract 46; Jefferson County; Kentucky",""
"    Estimate","52,866"
"    Margin of Error","±5,782"
"Census Tract 49; Jefferson County; Kentucky",""
"    Estimate","45,830"
"    Margin of Error","±20,437"
"Census Tract 50; Jefferson County; Kentucky",""
"    Estimate","19,702"
"    Margin of Error","±13,346"
"Census Tract 51; Jefferson County; Kentucky",""
"    Estimate","30,090"
"    Margin of Error","±14,467"
"Census Tract 52; Jefferson County; Kentucky",""
"    Estimate","53,750"
"    Margin of Error","±23,856"
"Census Tract 53; Jefferson County; Kentucky",""
"    Estimate","36,012"
"    Margin of Error","±9,673"
"Census Tract 56; Jefferson County; Kentucky",""
"    Estimate","27,981"
"    Margin of Error","±18,115"
"Census Tract 59.01; Jefferson County; Kentucky",""
"    Estimate","12,294"
"    Margin of Error","±2,694"
"Census Tract 59.02; Jefferson County; Kentucky",""
"    Estimate","55,491"
"    Margin of Error","±8,378"
"Census Tract 62; Jefferson County; Kentucky",""
"    Estimate","39,375"
"    Margin of Error","±15,100"
"Census Tract 63; Jefferson County; Kentucky",""
"    Estimate","71,611"
"    Margin of Error","±27,316"
"Census Tract 64; Jefferson County; Kentucky",""
"    Estimate","69,596"
"    Margin of Error","±29,561"
"Census Tract 65; Jefferson County; Kentucky",""
"    Estimate","42,946"
"    Margin of Error","±8,365"
"Census Tract 66; Jefferson County; Kentucky",""
"    Estimate","50,170"
"    Margin of Error","±7,513"
"Census Tract 68; Jefferson County; Kentucky",""
"    Estimate","93,854"
"    Margin of Error","±11,898"
"Census Tract 69; Jefferson County; Kentucky",""
"    Estimate","79,833"
"    Margin of Error","±32,814"
"Census Tract 70; Jefferson County; Kentucky",""
"    Estimate","77,683"
"    Margin of Error","±14,124"
"Census Tract 71.01; Jefferson County; Kentucky",""
"    Estimate","-"
"    Margin of Error","**"
"Census Tract 71.02; Jefferson County; Kentucky",""
"    Estimate","46,478"
"    Margin of Error","±9,171"
"Census Tract 74; Jefferson County; Kentucky",""
"    Estimate","61,250"
"    Margin of Error","±9,250"
"Census Tract 75.01; Jefferson County; Kentucky",""
"    Estimate","172,315"
"    Margin of Error","±40,345"
"Census Tract 75.02; Jefferson County; Kentucky",""
"    Estimate","137,813"
"    Margin of Error","±37,479"
"Census Tract 76.01; Jefferson County; Kentucky",""
"    Estimate","59,183"
"    Margin of Error","±13,535"
"Census Tract 76.02; Jefferson County; Kentucky",""
"    Estimate","60,258"
"    Margin of Error","±11,735"
"Census Tract 76.03; Jefferson County; Kentucky",""
"    Estimate","56,250"
