TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;21111000201;21;111;2.01;1
TRACT;21111000202;21;111;2.02;1
TRACT;21111000300;21;111;3.00;1
TRACT;21111000400;21;111;4.00;1
TRACT;21111000600;21;111;6.00;1
TRACT;21111000700;21;111;7.00;1
TRACT;21111000800;21;111;8.00;1
TRACT;21111000900;21;111;9.00;1
TRACT;21111001000;21;111;10.00;1
TRACT;21111001100;21;111;11.00;1
TRACT;21111001200;21;111;12.00;1
TRACT;21111001400;21;111;14.00;1
TRACT;21111001500;21;111;15.00;1
TRACT;21111001600;21;111;16.00;1
TRACT;21111001700;21;111;17.00;1
TRACT;21111001800;21;111;18.00;1
TRACT;21111002100;21;111;21.00;1
TRACT;21111002300;21;111;23.00;1
TRACT;21111002401;21;111;24.01;1
TRACT;21111002402;21;111;24.02;1
TRACT;21111002700;21;111;27.00;1
TRACT;21111002800;21;111;28.00;1
TRACT;21111003000;21;111;30.00;1
TRACT;21111003501;21;111;35.01;1
TRACT;21111003502;21;111;35.02;1
TRACT;21111003600;21;111;36.00;1
TRACT;21111003700;21;111;37.00;1
TRACT;21111003800;21;111;38.00;1
TRACT;21111003900;21;111;39.00;1
TRACT;21111004000;21;111;40.00;1
TRACT;21111004100;21;111;41.00;1
TRACT;21111004301;21;111;43.01;1
TRACT;21111004302;21;111;43.02;1
TRACT;21111004400;21;111;44.00;1
TRACT;21111004500;21;111;45.00;1
TRACT;21111004600;21;111;46.00;1
TRACT;21111004900;21;111;49.00;1
TRACT;21111005000;21;111;50.00;1
TRACT;21111005100;21;111;51.00;1
TRACT;21111005200;21;111;52.00;1
TRACT;21111005300;21;111;53.00;1
TRACT;21111005600;21;111;56.00;1
TRACT;21111005901;21;111;59.01;1
TRACT;21111005902;21;111;59.02;1
TRACT;21111006200;21;111;62.00;1
TRACT;21111006300;21;111;63.00;1
TRACT;21111006400;21;111;64.00;1
TRACT;21111006500;21;111;65.00;1
TRACT;21111006600;21;111;66.00;1
TRACT;21111006800;21;111;68.00;1
TRACT;21111006900;21;111;69.00;1
TRACT;21111007000;21;111;70.00;1
TRACT;21111007101;21;111;71.01;1
TRACT;21111007102;21;111;71.02;1
TRACT;21111007400;21;111;74.00;1
TRACT;21111007501;21;111;75.01;1
TRACT;21111007502;21;111;75.02;1
TRACT;21111007601;21;111;76.01;1
TRACT;21111007602;21;111;76.02;1
TRACT;21111007603;21;111;76.03;1
TRACT;21111007700;21;111;77.00;1
TRACT;21111007800;21;111;78.00;1
TRACT;21111007900;21;111;79.00;1
TRACT;21111008100;21;111;81.00;1
TRACT;21111008201;21;111;82.01;1
TRACT;21111008202;21;111;82.02;1
TRACT;21111008300;21;111;83.00;1
TRACT;21111008400;21;111;84.00;1
TRACT;21111008500;21;111;85.00;1
TRACT;21111008700;21;111;87.00;1
TRACT;21111008800;21;111;88.00;1
TRACT;21111008900;21;111;89.00;1
TRACT;21111009001;21;111;90.01;1
TRACT;21111009002;21;111;90.02;1
TRACT;21111009103;21;111;91.03;1
TRACT;21111009105;21;111;91.05;1
TRACT;21111009106;21;111;91.06;1
TRACT;21111009300;21;111;93.00;1
TRACT;21111009401;21;111;94.01;1
TRACT;21111009402;21;111;94.02;1
TRACT;21111009600;21;111;96.00;1
TRACT;21111009700;21;111;97.00;1
TRACT;21111009800;21;111;98.00;1
TRACT;21111009900;21;111;99.00;1
TRACT;21111010001;21;111;100.01;1
TRACT;21111010004;21;111;100.04;1
TRACT;21111010005;21;111;100.05;1
TRACT;21111010006;21;111;100.06;1
TRACT;21111010007;21;111;100.07;1
TRACT;21111010008;21;111;100.08;1
TRACT;21111010102;21;111;101.02;1
TRACT;21111010103;21;111;101.03;1
TRACT;21111010104;21;111;101.04;1
TRACT;21111010309;21;111;103.09;1
TRACT;21111010312;21;111;103.12;1
TRACT;21111010313;21;111;103.13;1
TRACT;21111010314;21;111;103.14;1
TRACT;21111010315;21;111;103.15;1
TRACT;21111010316;21;111;103.16;1
TRACT;21111010317;21;111;103.17;1
TRACT;21111010318;21;111;103.18;1
TRACT;21111010319;21;111;103.19;1
TRACT;21111010320;21;111;103.20;1
TRACT;21111010321;21;111;103.21;1
TRACT;21111010322;21;111;103.22;1
TRACT;21111010323;21;111;103.23;1
TRACT;21111010324;21;111;103.24;1
TRACT;21111010403;21;111;104.03;1
TRACT;21111010405;21;111;104.05;1
TRACT;21111010406;21;111;104.06;1
TRACT;21111010407;21;111;104.07;1
TRACT;21111010408;21;111;104.08;1
TRACT;21111010500;21;111;105.00;1
TRACT;21111010601;21;111;106.01;1
TRACT;21111010602;21;111;106.02;1
TRACT;21111010701;21;111;107.01;1
TRACT;21111010702;21;111;107.02;1
TRACT;21111010706;21;111;107.06;1
TRACT;21111010707;21;111;107.07;1
TRACT;21111010708;21;111;107.08;1
TRACT;21111010800;21;111;108.00;1
TRACT;21111010901;21;111;109.01;1
TRACT;21111010902;21;111;109.02;1
TRACT;21111011003;21;111;110.03;1
TRACT;21111011005;21;111;110.05;1
TRACT;21111011006;21;111;110.06;1
TRACT;21111011007;21;111;110.07;1
TRACT;21111011008;21;111;110.08;1
TRACT;21111011009;21;111;110.09;1
TRACT;21111011109;21;111;111.09;1
TRACT;21111011110;21;111;111.10;1
TRACT;21111011111;21;111;111.11;1
TRACT;21111011112;21;111;111.12;1
TRACT;21111011113;21;111;111.13;1
TRACT;21111011114;21;111;111.14;1
TRACT;21111011115;21;111;111.15;1
TRACT;21111011116;21;111;111.16;1
TRACT;21111011117;21;111;111.17;1
TRACT;21111011118;21;111;111.18;1
TRACT;21111011201;21;111;112.01;1
TRACT;21111011202;21;111;112.02;1
TRACT;21111011301;21;111;113.01;1
TRACT;21111011302;21;111;113.02;1
TRACT;21111011403;21;111;114.03;1
TRACT;21111011404;21;111;114.04;1
TRACT;21111011405;21;111;114.05;1
TRACT;21111011406;21;111;114.06;1
TRACT;21111011506;21;111;115.06;1
TRACT;21111011508;21;111;115.08;1
TRACT;21111011509;21;111;115.09;1
TRACT;21111011513;21;111;115.13;1
TRACT;21111011514;21;111;115.14;1
TRACT;21111011515;21;111;115.15;1
TRACT;21111011516;21;111;115.16;1
TRACT;21111011517;21;111;115.17;1
TRACT;21111011518;21;111;115.18;1
TRACT;21111011519;21;111;115.19;1
TRACT;21111011520;21;111;115.20;1
TRACT;21111011521;21;111;115.21;1
TRACT;21111011522;21;111;115.22;1
TRACT;21111011603;21;111;116.03;1
TRACT;21111011604;21;111;116.04;1
