ZIPCODE,CITY,COUNTY,CITY_ARCHIVE
40018,Eastwood,Jefferson County,Eastwood
40023,Fisherville,Jefferson County,Fisherville
40025,Glenview,Jefferson County,Glenview
40027,Harrods Creek,Jefferson County,Harrods Creek
40041,,Jefferson County,Masonic Home
40047,Heritage Creek,Jefferson County,Louisville
40059,Prospect,Jefferson County,Prospect
40118,Fairdale,Jefferson County,Fairdale
40201,,Jefferson County,Louisville
40202,Downtown,Jefferson County,Louisville
40203,,Jefferson County,Louisville
40204,,Jefferson County,Louisville
40205,,Jefferson County,Louisville
40206,,Jefferson County,Louisville
40207,St. Matthews,Jefferson County,St. Matthews
40208,,Jefferson County,Louisville
40209,,Jefferson County,Louisville
40210,,Jefferson County,Louisville
40211,   Chickasaw,Jefferson County,Louisville
40212,               Portland,Jefferson County,Louisville
40213,            Lynnview,Jefferson County,Louisville
40214,Iroquois,Jefferson County,Louisville
40215,,Jefferson County,Louisville
40216,Shively,Jefferson County,Shively
40217,Audobon,Jefferson County,Louisville
40218,Buechel,Jefferson County,Buechel
40218,,Jefferson County,Louisville
40219,,Jefferson County,Okolona
40220,,Jefferson County,Louisville
40221,,Jefferson County,Louisville
40222,             Lyndon,Jefferson County,Lyndon
40223,Anchorage,Jefferson County,Anchorage
40223,,Jefferson County,Louisville
40224,,Jefferson County,Louisville
40228,Newburg,Jefferson County,Louisville
40229,Okolona,Jefferson County,Okolona
40229,,Jefferson County,Louisville
40231,,Jefferson County,Louisville
40232,,Jefferson County,Louisville
40233,,Jefferson County,Louisville
40241,,Jefferson County,Louisville
40242,,Jefferson County,Lyndon
40243,Middletown,Jefferson County,Middletown
40245,Lake Forest,Jefferson County,Louisville
40250,,Jefferson County,Louisville
40251,,Jefferson County,Louisville
40252,,Jefferson County,Lyndon
40253,Middletown,Jefferson County,Middletown
40255,,Jefferson County,Louisville
40256,Shively,Jefferson County,Shively
40257,St. Matthews,Jefferson County,St. Matthews
40258,     Pleasure Ridge Park,Jefferson County,Pleasure Ridge Park
40259,Okolona,Jefferson County,Okolona
40261,,Jefferson County,Louisville
40268,Pleasure Ridge Park,Jefferson County,Pleasure Ridge Park
40269,Jeffersontown,Jefferson County,Jeffersontown
40270,,Jefferson County,Louisville
40272,Valley Station,Jefferson County,Valley Station
40285,,Jefferson County,Louisville
40291,Fern Creek,Jefferson County,Fern Creek
40298,,Jefferson County,Louisville
40299,Jeffersontown,Jefferson County,Jeffersontown
